Facility Information ,,,,,,No. Of Water Fountains,,Restroom Type,No. of Baby Changing Stations,No. of Showers,Cooling Center
Facility Name ,Facility Address,CD,Bathroom ONLY,Water ONLY,Combo: Bathroom + Water,Standard,Bottle Fillers ,Number of Restrooms,,,
Gilbert Lindsay Rec Center ,"429 East 42nd Place Los Angeles, CA 90011",9,,,x,1,2,6,,,
Gladys Jean Wesson Park/West BLVD Park ,"2508 West Boulevard Los Angeles, CA 90016",10,,x,,1,,,,,
Gladys Park,"808 E 6th St, Los Angeles, CA 90021",14,,,x,,2,4,1,,
Glassell Park Recreation Center ,"3650 Verdugo Road Los Angeles, CA 90065",1,,,x,2,4,4,,,
Glassell Park Senior Citizen Center ,"3750 North Verdugo Road Los Angeles, CA 90065",1,,,x,1,,2,,,
Glassell Park Youth Center ,"2727 Crestmore Place Los Angeles, CA 90065",1,,,x,1,,4,,,
Glen Alla Park ,"4601 Alla Road Los Angeles, CA 90066",11,,,x,2,,2,2,,
Granada Hills Recreation Center,"16730 Chatsworth Street Granada Hills, CA 91344",12,,,x,5,1,7,3,,
Grape Street Park ,"10726 South Grape Street Los Angeles, CA 90059",15,,x,,1,,,,,
Greayers Oak Mini Park,"3711 N. Figueroa Street Los Angeles, CA 90065",1,,x,,1,,,,,
Greek Theatre ,"2700 North Vermont Avenue Los Angeles, CA 90027",4,,,x,6,,12,2,14,
Green Meadows Recreation Center,"431 East 89th Street Los Angeles, CA 90003",9,,,x,3,2,4,,,
Greenwood Square Park ,"14101 Sherman Way Blvd. Van Nuys, CA 91405",2,,x,,1,,,,,
Griffith Observatory ,"2800 East Observatory Road Los Angeles, CA 90027",4,,,x,6,1,16,10,,
Griffith Park Adult Community Center,"3203 Riverside Drive Los Angeles, CA 90027",4,,,x,1,,3,,,
Griffith Park Boys Camp ,"4730 Crystal Springs Drive Los Angeles, CA 90027",4,,,x,5,,4,2,,
Griffith Recreation Complex ,"3343 Riverside Drive Los Angeles, CA 90027",4,,,x,4,2,2,,,
Hansen Dam Aquatics Center ,"11798 Foothill Blvd. Lake View Terrace, CA 91342",7,,,x,8,,40,2,,
Hansen Dam Kids Campground (Otis Wallace) ,"11798 Foothill Blvd. Lake View Terrace, CA 91342",7,,,x,2,,4,,,
Hansen Dam Ranger Station ,"11798 Foothill Blvd. Lake View Terrace, CA 91342",7,,,x,1,,4,2,,
Hansen Dam Sports Center,"111480 Foothill Blvd. Lake View Terrace, CA 91342",7,,,x,8,1,3,,,
Hansen Dam Universal Playground,"11440 Foothill Blvd. Lake View Terrace, CA 91342 ",7,,,x,,,10,,,
Habor City Recreation Center ,"24901 Frampton Avenue Harbor City, CA 90710",15,,,x,4,1,2,,,
Harbor Highlands Park ,"825 West Capitol Drive San Pedro, CA 90731",15,,,x,,1,2,,,
Harbor Sports Complex,"1221 North Figureoa Place Wilmington, CA 90744",15,,,x,4,,2,,,
Harbor View Memorial Park ,"2411 S Grand Avenue San Pedro, CA 90731",15,x,,,,,2,,,
Harold A. Henry Park,"809 South Lucerne Boulevard Los Angeles, CA 90016",5,,x,,2,,,,,
Hazard Recreation Center ,"2230 Norfolk Street Los Angeles, CA 90033",14,,,x,4,1,4,2,,
Hermon Park (Arroyo Seco Dog Park),"5566 Via Marisol Los Angeles, CA 90042",14,,x,,5,1,,,,
Highland Park Recreation Center,"6150 Piedmont Avenue Los Angeles, CA 90042",14,,,x,4,1,5,,,
Highland Park Senior Citizen Center ,"6152 North Figueroa Street Los Angeles, CA 90042 ",14,,,x,2,1,2,,,
Hjelte Sports Center ,"16200 Burbank Blvd. Encino, CA 91436",6,,,x,4,,3,,,
Holleigh Bernson Park ,"20500 Sesnon Blvd. Northridge, CA 91326",12,,,x,3,,10,,,
Hollenbeck Park/Recreation Center,"415 South Saint Louis Street Los Angeles, CA 90033",14,,,x,14,3,,,,
Hollywood Recreation Center,"1122 Cole Avenue Los Angeles, CA 90038",13,,,x,2,1,2,,,
Holmby Park ,"601 Club View Drive Los Angeles, CA 90024",5,,,x,7,,4,4,,
Hoover Recreation Center ,"1010 West 25th Street Los Angeles, CA 90007",1,,,x,,1,4,,,
Norman O. Houston ,"4800 S La Brea Ave. Los Angeles, CA 90008",8,,x,,1,,,,,
Hope and Peace Pocket Park,"843 South Bonnie Brae Street Los Angeles, CA 90057",1,,,x,2,,2,,,
Howard Finn Park ,"7747 Foothill Blvd. Sunland, CA 91042",7,,x,,1,,,,,
Hubert Humphrey Recreation Center/Child Care Center,"12560 Filmore Street Pacoima, CA 91331",7,,,x,8,,6,,,
Inell Woods Park (Ways Park) ,"8703 McKinley Place Los Angeles, CA 90002",9,,x,,,1,,,,
Ira C. Massey Child Care Center,"5001 Obama Blvd, Los Angeles, CA 90016",10,,,x,4,1,4,,,
Irving Schachter Park ,"2599 Beverwill Drive Los Angeles, CA 90064",5,,x,,,1,,,,
Richardson Family Park ,"2700 Budlong Ave Los Angeles, CA 90007",8,,x,,1,,,,,
South Los Angeles Sports Activity Center ,"7020 South Figureoa Street Los Angeles, CA 90003",8,,,x,2,,2,,,
Jamie Beth Slavin Park ,"7965 Whitsett Avenue North Hollywood, CA 91605",2,,x,,1,,,,,
Jesse Owens Park ,"7100 White Oak Avenue Van Nuys, CA 91316",6,,,x,,1,2,,,
Jim Gilliam Child Care Center ,"4000 South La Brea Avenue Los Angeles, CA 90008",5,,,x,3,,2,,,
Jim Gilliam Recreation Center ,"4000 S La Brea Avenue Los Angeles, CA 90008",5,,,x,3,1,7,2,,
Joan Milke Flores Picnic Area ,"3601 South Gaffey Street San Pedro, CA 90731",15,,x,,2,,,,,
Joe Klass Water Stop ,"34.125587280924805, -118.28197365582561 ",4,,x,,1,,,,,
John Quimby Park ,"7008 De Soto Avenue Canoga Park, CA 91306",3,,x,,2,,,,,
Juliam Dixon ,"4800 South Hoover Los Angeles, CA 90037",9,,x,,1,,,,,
Juntos Park ,"3135 Drew Street Los Angeles, CA 90065",13,,,x,2,,3,1,,
Kagel Canyon Park ,"11435 Kagel Canyon Street Lake View Terrace, CA 91342",7,,x,,1,,,,,
Ken Mallory Harbor Regional Park,"25820 South Vermont Avenue Harbor City, CA 90710",15,,,x,1,1,7,,,
Knapp Ranch Addition Park ,"24700 Wooded Vista Court Canoga, CA 91307",12,,,x,1,,,,,
Knapp Ranch Park ,"25000 W. Kittridge Street West Hills, CA 91307",12,,,x,3,,4,,,
Korean Friendship Bell ,"3601 South Gaffey Street San Pedro, CA 90731",15,,,x,1,1,2,,,
La Mirada Park ,"5401 La Mirada Avenue Los Angeles, CA 90029 ",13,,x,,1,,,,,
Lafayette Multipurpose Community Center ,"625 South Lafayette Park Place Los Angeles, CA 90057",10,,,x,3,1,4,2,,
Lake Balboa Lifeguard ,"6200 Balboa Blvd. Encino, CA 91316",6,x,,,,,5,,,
Lake Balboa Playground ,"6300 Balboa Blvd. Encino, CA 91316",6,x,,,,,6,,,
Lake Hollywood Park ,"3160 Canyon Drive Los Angeles, CA 90027",4,,x,,1,1,,,,
Lake Street Park ,"227 North Lake Street Los Angeles, CA 90026",13,,,x,1,1,4,,,
Lake View Terrace Recreation Center ,"11075 Foothill Blvd. Lake View Terrace, CA 91343",7,,,x,4,1,5,2,,
Lanark Recreation Center ,"21816 Lanark Street Canoga Park, CA 91304",3,,,x,9,1,7,,,
LAPD Swat Officer Randal D. Simmons Park,"6731 Wilbur Avenue Reseda, CA 91335",3,,x,,2,1,,,,
Las Palmas Senior Citizen Center ,"1820 North Las Palmas Los Angeles, CA 90028",13,,,x,1,,2,,,
Latham Park ,"5308 South Latham Street Los Angeles, CA 90011",9,,x,,1,,,,,
Laurel Canyon Dog Park ,"8260 Mullholland Drive Los Angeles, CA 90046",4,,x,,1,2,,,,
Laurel Grove Park ,"12227 Erwin Street North Hollywood, CA 91605",2,,x,,1,,,,,
Lazy J. Ranch ,"23751 E. Ingomer Street West Hills, CA 91304",12,,x,,1,,,,,
South Victoria Park ,"6537 S Victoria Avenue Los Angeles, CA 90043",8,,x,,,1,,,,
Leland Recreation Center ,"863 South Herbert Avenue San Pedro, CA 90731",15,,,x,,2,3,,,
Lemon Grove Recreation Center ,"4959 Lemon Grove Avenue Los Angeles, CA 90029",13,,,x,,2,4,,,
